batter,season,oaa
501303,2019,-3
605113,2019,17
593643,2019,4
645277,2019,-3
546991,2019,3
624413,2019,-6
514888,2019,5
605119,2019,1
641313,2019,2
462101,2019,10
606115,2019,-7
571448,2019,22
650333,2019,-13
664056,2019,12
493596,2019,-7
542921,2019,-12
605137,2019,-4
641355,2019,8
474832,2019,0
643217,2019,-8
542932,2019,-1
605141,2019,4
624415,2019,-1
453568,2019,-10
593428,2019,-9
623520,2019,1
598265,2019,6
488726,2019,-2
460075,2019,-8
608324,2019,1
621446,2019,0
542979,2019,8
592178,2019,-1
621439,2019,11
595879,2019,32
452678,2019,8
456715,2019,14
594777,2019,1
622666,2019,-4
600869,2019,4
592192,2019,-1
429664,2019,1
572761,2019,6
592206,2019,-7
605612,2019,-6
516770,2019,10
656305,2019,15
656308,2019,3
596847,2019,-6
425783,2019,-13
624424,2019,5
643265,2019,4
641477,2019,7
621043,2019,11
543063,2019,5
641487,2019,-1
543068,2019,6
596144,2019,-9
621311,2019,2
448801,2019,0
605204,2019,-7
657557,2019,7
592261,2019,11
435622,2019,-10
646240,2019,18
518618,2019,-4
641525,2019,1
518626,2019,10
572821,2019,-4
641531,2019,-7
592273,2019,5
621453,2019,3
502481,2019,6
594809,2019,0
669242,2019,11
641553,2019,6
500871,2019,-4
664058,2019,12
527038,2019,0
523253,2019,-8
451594,2019,-6
596748,2019,-1
624428,2019,9
453943,2019,1
518692,2019,-3
502273,2019,2
520471,2019,8
594824,2019,-1
541645,2019,3
544725,2019,0
458731,2019,2
502671,2019,7
503556,2019,6
592348,2019,11
571718,2019,2
460086,2019,-5
544369,2019,-19
545341,2019,6
543257,2019,3
665489,2019,-19
493329,2019,6
608597,2019,-4
571740,2019,4
641658,2019,0
571745,2019,3
547180,2019,-1
588751,2019,-3
514917,2019,0
571771,2019,-3
606192,2019,-5
518792,2019,9
669374,2019,-8
571788,2019,4
656555,2019,1
543333,2019,-11
578428,2019,14
650391,2019,-11
430945,2019,-4
592444,2019,1
592450,2019,8
643393,2019,7
435062,2019,-5
596146,2019,6
595281,2019,19
664068,2019,1
435079,2019,4
543401,2019,-11
600303,2019,-2
501571,2019,4
657656,2019,-3
518934,2019,9
596019,2019,24
446334,2019,8
670032,2019,1
664040,2019,-5
608475,2019,1
592518,2019,-7
641820,2019,-5
622534,2019,11
545350,2019,7
455976,2019,-1
606466,2019,-3
516782,2019,2
621006,2019,-1
547982,2019,2
608577,2019,1
641857,2019,-2
643446,2019,1
640457,2019,0
640458,2019,4
474568,2019,-1
593160,2019,-3
660162,2019,6
609275,2019,11
664238,2019,3
592567,2019,-8
519048,2019,-3
519058,2019,0
571970,2019,3
502517,2019,-7
571976,2019,0
571980,2019,2
621028,2019,-8
543592,2019,-2
656811,2019,-3
596059,2019,3
621566,2019,9
542303,2019,-7
605412,2019,5
592626,2019,-6
444482,2019,1
606299,2019,6
502054,2019,-10
607680,2019,0
640461,2019,-6
572039,2019,0
593871,2019,-21
595777,2019,-6
624577,2019,3
405395,2019,-7
541650,2019,-2
623912,2019,-5
608070,2019,6
502210,2019,1
543685,2019,2
592669,2019,7
650859,2019,-4
614177,2019,-2
668804,2019,2
519203,2019,1
621002,2019,2
645302,2019,22
500135,2019,-1
500743,2019,-1
642708,2019,-13
592696,2019,-15
547004,2019,-5
608365,2019,7
467793,2019,1
542454,2019,-2
570267,2019,-13
623993,2019,-3
593934,2019,-7
570731,2019,4
656941,2019,-10
608369,2019,4
572122,2019,3
516416,2019,-7
543760,2019,-4
669222,2019,1
543768,2019,-3
592743,2019,19
596105,2019,-9
605480,2019,11
475253,2019,-1
519299,2019,7
665742,2019,5
543807,2019,7
596115,2019,18
543829,2019,-3
553993,2019,1
621020,2019,3
570560,2019,-2
606132,2019,3
665487,2019,-16
621035,2019,0
519346,2019,7
650402,2019,-16
545361,2019,-4
457759,2019,5
607208,2019,4
570482,2019,-4
649966,2019,-5
657077,2019,3
542340,2019,-12
458015,2019,1
572233,2019,16
435522,2019,0
621563,2019,3
592859,2019,-4
608385,2019,-8
543939,2019,3
573262,2019,4
592885,2019,-4
547989,2020,4
660670,2020,1
642715,2020,-1
666176,2020,-4
501303,2020,3
542583,2020,-5
605113,2020,7
673451,2020,1
593643,2020,-3
645277,2020,3
514888,2020,-7
605119,2020,5
641313,2020,3
462101,2020,-2
660620,2020,-4
606115,2020,1
571448,2020,6
650333,2020,-3
664056,2020,3
605137,2020,-3
641355,2020,10
474832,2020,0
542932,2020,-2
605141,2020,4
666182,2020,1
624415,2020,-2
453568,2020,-1
593428,2020,-3
664761,2020,0
623520,2020,-4
598265,2020,6
608324,2020,1
621446,2020,-1
670712,2020,4
592178,2020,-3
621439,2020,4
595879,2020,9
452678,2020,3
594777,2020,-2
622666,2020,4
